arquivo;nome;origem_anterior;origem_final;regiao_anterior;regiao_final;alterado
cattleya-walkeriana.js;Cattleya walkeriana;Brasil.;Brasil;Centro-Oeste e Sudeste.;Centro-Oeste e Sudeste;sim
cattleya-intermedia.js;Cattleya intermedia;Brasil e Paraguai;América do Sul;Sudeste/Sul do Brasil ao Paraguai;Sudeste e Sul do Brasil · Paraguai;sim
cattleya-leopoldii-dark-princess.js;Cattleya tigrina 'Dark Princess';Brasil;Brasil;Mata Atlântica do Sul e Sudeste;Mata Atlântica do Sul e Sudeste;não
laelia-fournieri.js;Cattleya fournieri;Brasil.;Brasil;Minas Gerais.;Minas Gerais;sim
lockhartia-lunifera.js;Lockhartia lunifera;Brasil.;Brasil;Brasil tropical e subtropical.;Brasil tropical e subtropical;sim
jacquiniella-globosa.js;Jacquiniella globosa;Sul do México à América Tropical.;América Tropical;"América Central, Caribe e América do Sul; Brasil incluso.";América Central · Caribe · América do Sul (incl. Brasil);sim
camaridium-carinatum.js;Maxillaria imbricata;América do Sul tropical.;América do Sul tropical;Bolívia e Brasil.;Bolívia e Brasil;sim
acianthera-pubescens.js;Acianthera pubescens;México e Caribe até a América do Sul tropical e subtropical.;América Tropical;Ampla distribuição neotropical: México, América Central, Caribe e grande parte da América do Sul, incluindo Brasil, Paraguai, Uruguai e nordeste da Argentina conforme bases taxonômicas modernas.;México · América Central · Caribe · América do Sul (incl. Brasil, Paraguai, Uruguai e NE da Argentina);sim
maxillaria-leucaimata.js;Maxillaria leucaimata;Brasil.;Brasil;CE, MG e costa Sudeste do Brasil.;CE, MG e costa Sudeste do Brasil;sim
coelogyne-asperata.js;Coelogyne asperata;Malesia ao Pacífico ocidental.;Malesia e Pacífico ocidental;Bornéu à Nova Guiné e Ilhas Salomão.;Bornéu · Nova Guiné · Ilhas Salomão;sim
coelogyne-flaccida.js;Coelogyne flaccida;Himalaia ao sul da China e Indochina.;Himalaia e Sudeste Asiático;Nepal, Índia, sul da China e Indochina.;Nepal · Índia · sul da China · Indochina;sim
howeara-lava-burst.js;Leomesezia Lava Burst;Híbrido hortícola · registrado em 1993.;Híbrido horticultural;Ancestrais tropicais americanos.;Ancestrais tropicais americanos;sim
epicattleya-rene-marques.js;Epicattleya René Marqués;Híbrido registrado · 1979.;Híbrido horticultural;E. pseudepidendrum × C. Claesiana.;Sem distribuição natural · E. pseudepidendrum × C. Claesiana;sim
coelogyne-fimbriata.js;Coelogyne fimbriata;Himalaia ao sul da China e Indochina.;Himalaia e Sudeste Asiático;Nepal, sul da China e Indochina.;Nepal · sul da China · Indochina;sim
maxillaria-picta.js;Maxillaria picta;Sudeste/Sul do Brasil a Misiones, Argentina.;América do Sul;Mata Atlântica · Sudeste e Sul.;Sudeste e Sul do Brasil · Argentina (Misiones);sim
maxillaria-chrysantha.js;Maxillaria chrysantha;Brasil.;Brasil;Sul do Brasil · áreas serranas.;Sul do Brasil · áreas serranas;sim
miltonia-regnellii.js;Miltonia regnellii;Brasil.;Brasil;Sul e Sudeste.;Sul e Sudeste;sim
neobenthamia-gracilis.js;Polystachya neobenthamia;Tanzânia.;Tanzânia;Leste da Tanzânia.;Leste da Tanzânia;sim
aspasia-lunata.js;Aspasia lunata;Bolívia e Brasil.;América do Sul;"Bolívia; Centro-Oeste, Sudeste e Sul do Brasil.";Bolívia · Brasil (Centro-Oeste, Sudeste e Sul);sim
cyrtopodium-saintlegerianum.js;Cyrtopodium saintlegerianum;América do Sul.;América do Sul;Brasil, Paraguai e norte da Argentina.;Brasil · Paraguai · norte da Argentina;sim
cattleya-warneri.js;Cattleya warneri;Brasil.;Brasil;Leste do Brasil · destaque para ES e MG.;Leste do Brasil · destaque para ES e MG;sim
bulbophyllum-elassonotum.js;Bulbophyllum elassonotum;Assam à Indochina;Sul e Sudeste da Ásia;Assam, Myanmar, Tailândia, Camboja e Vietnã;Assam · Myanmar · Tailândia · Camboja · Vietnã;sim
bulbophyllum-miniatum.js;Bulbophyllum saltatorium var. albociliatum;África Tropical.;África Tropical;África O/C · Uganda · Quênia SW · Angola.;África O/C · Uganda · Quênia SW · Angola;sim
bulbophyllum-sikkimense.js;Bulbophyllum roxburghii;Himalaia Oriental.;Himalaia Oriental;Sikkim · E Himalaia.;Sikkim · E Himalaia;sim
cattlianthe-ctt-jewel-box.js;Cattlianthe Jewel Box;Híbrido hortícola · registrado em 1962.;Híbrido horticultural;Guarianthe aurantiaca × Cattleya Anzac.;Sem distribuição natural · Guarianthe aurantiaca × Cattleya Anzac;sim
cattleya-loddigesii.js;Cattleya loddigesii;Brasil;Brasil;Sudeste ao Paraná;Sudeste ao Paraná;não
laelia-cinnabarina.js;Cattleya cinnabarina;Brasil.;Brasil;Minas Gerais e Rio de Janeiro.;Minas Gerais e Rio de Janeiro;sim
laelia-lundii.js;Cattleya lundii;América do Sul.;América do Sul;Brasil, Bolívia, Paraguai e N da Argentina.;Brasil, Bolívia, Paraguai e N da Argentina;sim
catasetum-mattosianum.js;Catasetum mattosianum;Brasil.;Brasil;Bahia ao Espírito Santo.;Bahia ao Espírito Santo;sim
laelia-gloriosa.js;Laelia gloriosa;Norte da América do Sul e Amazônia.;Norte da América do Sul;Venezuela, Colômbia, Equador, Guianas e norte do Brasil.;Venezuela · Colômbia · Equador · Guianas · norte do Brasil;sim
encyclia-bracteata.js;Encyclia bracteata;Brasil.;Brasil;Bahia e Sudeste brasileiro.;Bahia e Sudeste brasileiro;sim
stanhopea-assidensis.js;Stanhopea Assidensis;Híbrido artificial registrado em 1922.;Híbrido horticultural;Sem distribuição natural · parentais do México à América Central e norte da América do Sul.;Sem distribuição natural · híbrido registrado em 1922 · parentais do México à América Central e norte da América do Sul;sim
dichaea-pendula.js;Dichaea pendula;América tropical.;América Tropical;Caribe, América Central e América do Sul.;Caribe · América Central · América do Sul;sim
dichaea-cogniauxiana.js;Dichaea cogniauxiana;Brasil.;Brasil;Nordeste, Centro-Oeste, Sudeste e Sul.;Nordeste, Centro-Oeste, Sudeste e Sul;sim
promenaea-guttata.js;Promenaea Guttata;Brasil.;Brasil;Leste e Sul do Brasil.;Leste e Sul do Brasil;sim
encyclia-gallopavina.js;Encyclia gallopavina;Brasil.;Brasil;Sudeste brasileiro.;Sudeste brasileiro;sim
stanhopea-guttulata.js;Stanhopea guttulata;Brasil.;Brasil;Sudeste do Brasil.;Sudeste do Brasil;sim
isabelia-virginalis.js;Isabelia virginalis;Brasil, Paraguai e NE da Argentina.;América do Sul;Sul e Sudeste do Brasil · Misiones.;Sul e Sudeste do Brasil · Paraguai · Argentina (Misiones);sim
huntleya-meleagris.js;Huntleya meleagris;Trinidad ao norte e centro da América do Sul.;América do Sul tropical;América do Sul tropical · Brasil incluído.;Trinidad · norte e centro da América do Sul (incl. Brasil);sim
miltonia-spectabilis-var-moreliana.js;Miltonia moreliana;Brasil.;Brasil;Bahia a São Paulo.;Bahia a São Paulo;sim
oncidium-pubes.js;Gomesa pubes;Brasil.;Brasil;Sul do RJ e São Paulo.;Sul do RJ e São Paulo;sim
miltonia-candida.js;Miltonia candida;Brasil.;Brasil;Sudeste brasileiro.;Sudeste brasileiro;sim
ornithocephalus-myrticola.js;Ornithocephalus myrticola;Brasil.;Brasil;Centro-Oeste, Sudeste e Sul do Brasil.;Centro-Oeste, Sudeste e Sul do Brasil;sim
notylia-pubescens.js;Notylia pubescens;Brasil.;Brasil;Leste e Sul do Brasil.;Leste e Sul do Brasil;sim
trichocentrum-fuscum.js;Trichocentrum fuscum;América do Sul tropical.;América do Sul tropical;América do Sul tropical.;América do Sul tropical;sim
bifrenaria-harrisoniae.js;Bifrenaria harrisoniae;Brasil.;Brasil;Sudeste e Sul do Brasil · Mata Atlântica.;Sudeste e Sul do Brasil · Mata Atlântica;sim
maxillaria-pumila-ex-minuta.js;Maxillaria pumila (ex-minuta);Guiana e Brasil.;Guiana e Brasil;América do Sul tropical · Brasil e Guiana.;América do Sul tropical · Brasil e Guiana;sim
ludisia-discolor.js;Ludisia discolor;Sul da China ao Sudeste Asiático.;Sul da China e Sudeste Asiático;China, Indochina, Malesia e Filipinas.;China · Indochina · Malesia · Filipinas;sim
bulbophyllum-ambrosia.js;Bulbophyllum ambrosia;Nepal à Indochina;Sul e Sudeste da Ásia;Nepal, Assam, S China, Laos e Vietnã;Nepal · Assam · sul da China · Laos · Vietnã;sim
cattleya-guttata-var-coerulea.js;Cattleya guttata f. coerulea;Brasil;Brasil;Leste, Sudeste e Sul do Brasil;Leste, Sudeste e Sul do Brasil;não
octomeria-diaphana.js;Octomeria diaphana;Brasil.;Brasil;Sul e Sudeste do Brasil.;Sul e Sudeste do Brasil;sim
acianthera-bragae.js;Acianthera bragae;Brasil — regiões Sudeste e Sul.;Brasil;Mata Atlântica do Sudeste e Sul do Brasil.;Mata Atlântica do Sudeste e Sul do Brasil;sim
acianthera-sonderiana.js;Acianthera sonderiana;Sudeste e Sul do Brasil, Paraguai, Uruguai e nordeste da Argentina (Misiones).;América do Sul;POWO reconhece ocorrência nativa no Sudeste e Sul do Brasil, Paraguai, Uruguai e nordeste da Argentina. No Brasil há registros confirmados para Espírito Santo, Minas Gerais, Rio de Janeiro, São Paulo, Paraná, Santa Catarina e Rio Grande do Sul.;Brasil (ES · MG · RJ · SP · PR · SC · RS) · Paraguai · Uruguai · Argentina (Misiones);sim
blc-chia-lin.js;Rhyncholaeliocattleya Chia Lin;Híbrido hortícola;Híbrido horticultural;Su Ping-Ho · registro 1989;Sem distribuição natural · grex registrado em 1989;sim
octomeria-micrantha.js;Octomeria micrantha;Brasil ao nordeste da Argentina.;América do Sul;Sudeste do Brasil · Paraguai · Misiones.;Sudeste do Brasil · Paraguai · Argentina (Misiones);sim
gongora-bufonia.js;Gongora bufonia;Brasil · Sergipe a Santa Catarina.;Brasil;Leste do Brasil · Mata Atlântica.;Leste do Brasil · Mata Atlântica;sim
pabstiella-trifida.js;Pabstiella trifida;Brasil.;Brasil;Leste e Sul do Brasil.;Leste e Sul do Brasil;sim
laelia-lundii-alba.js;Cattleya lundii f. alba;América do Sul.;América do Sul;Forma clara de C. lundii · Brasil e região.;Forma clara de C. lundii · Brasil e região;sim
cattleya-chocolate-drop.js;Cattlianthe Chocolate Drop;Híbrido hortícola · Stewart Inc., 1965;Híbrido horticultural;Parentais: Brasil + México/América Central;Sem distribuição natural · parentais com origem no Brasil e México/América Central;sim
cattleya-a-brazilian-dream.js;Cattleya A Brazilian Dream;Híbrido hortícola.;Híbrido horticultural;Grex registrado em 2019 · sem distribuição natural.;Sem distribuição natural · grex registrado em 2019;sim
cattleya-violacea-f-suavissima-x-self.js;Cattleya violacea f. suavissima × self;Seleção horticultural de C. violacea.;Seleção horticultural;Base genética sul-americana.;Espécie-base nativa da América do Sul tropical;sim
cattleya-violacea-f-flamea.js;Cattleya violacea f. flamea;América do Sul tropical.;América do Sul tropical;Amazônia e norte da América do Sul.;Amazônia e norte da América do Sul;sim
cattleya-nobilior-var-amaliae.js;Cattleya nobilior var. amaliae;Brasil Central · Cerrado.;Brasil;N. Goiás, Tocantins e SO da Bahia.;N. Goiás, Tocantins e SO da Bahia;sim
cattleya-walkeriana-f-alba-gnomus-x-f-alba-suprema.js;Cattleya walkeriana (f. alba 'Gnomus' × f. alba 'Suprema');Brasil.;Brasil;Centro-Oeste e Sudeste.;Centro-Oeste e Sudeste;sim
zygopetalum-maculatum.js;Zygopetalum maculatum;América do Sul.;América do Sul;Norte do Peru, Bolívia e Brasil.;Peru · Bolívia · Brasil;sim
phalaenopsis-mannii.js;Phalaenopsis mannii;Himalaia oriental ao sul da China.;Himalaia Oriental e sul da China;Nepal/Assam a Myanmar, Vietnã e Yunnan.;Nepal · Assam · Myanmar · Vietnã · Yunnan;sim
bulbophyllum-falcatum.js;Bulbophyllum falcatum;África tropical;África Tropical;África Ocidental ao SW do Quênia;África Ocidental ao sudoeste do Quênia;sim
bulbophyllum-syciobulbon.js;Bulbophyllum sicyobulbon;Indochina.;Indochina;"Myanmar e Tailândia; registros históricos na Malásia.";"Myanmar e Tailândia; registros históricos na Malásia";sim
laelia-caulencens.js;Cattleya caulescens;Brasil.;Brasil;Minas Gerais.;Minas Gerais;sim
rodricidium.js;Rodricidium (Rdcm.);Híbrido hortícola Oncidium × Rodriguezia.;Híbrido horticultural;"Sem distribuição natural; parentais americanos.";Sem distribuição natural · híbrido Oncidium × Rodriguezia;sim
laelia-praestans.js;Cattleya praestans;Brasil.;Brasil;Espírito Santo e Minas Gerais.;Espírito Santo e Minas Gerais;sim
phaius-tankervilleae-alba.js;Calanthe tankervilleae — forma alba;Ásia tropical/subtropical ao Pacífico.;Ásia tropical/subtropical ao Pacífico;Ásia oriental e Sudeste Asiático · Pacífico.;Ásia oriental e Sudeste Asiático · Pacífico;sim
stanhopea-hernandezii.js;Stanhopea hernandezii;México.;México;Regiões central e sudoeste do México.;México central e sudoeste;sim
encyclia-oncidioides.js;Encyclia oncidioides;América tropical · Brasil incluído.;América tropical · Brasil incluído;Brasil e outros pontos da América tropical.;Brasil e outros pontos da América tropical;sim
pleurothallis-modestissima.js;Acianthera modestissima;Brasil · Minas Gerais.;Brasil;Sudeste brasileiro · Minas Gerais.;Sudeste brasileiro · Minas Gerais;sim
maxillaria-brasiliensis.js;Maxillaria brasiliensis;Brasil.;Brasil;Brasil · registros em formações tropicais e subtropicais.;Brasil · registros em formações tropicais e subtropicais;sim
isochilus-linearis.js;Isochilus linearis;México à América tropical.;América Tropical;Caribe, América Central e América do Sul.;Caribe · América Central · América do Sul;sim
epidendrum-centropetalum.js;Epidendrum centropetalum;México e América Central.;México e América Central;Do sul do México ao Panamá.;Sul do México · América Central até o Panamá;sim
miltonia-russelliana.js;Miltonia russelliana;Brasil.;Brasil;Sudeste e Sul do Brasil.;Sudeste e Sul do Brasil;sim
promenaea-xanthina.js;Promenaea xanthina;Brasil.;Brasil;Leste e Sul do Brasil.;Leste e Sul do Brasil;sim
brassia-lawrenceana.js;Brassia lawrenceana;Norte da América do Sul.;Norte da América do Sul;Amazônia e países do norte e oeste sul-americano.;Amazônia · norte e oeste da América do Sul;sim
laelia-splendida.js;Laelia splendida;América do Sul.;América do Sul;Colômbia e Equador.;Colômbia e Equador;sim
encyclia-alboxanthina.js;Encyclia alboxanthina;Brasil.;Brasil;Bahia e Sergipe.;Bahia e Sergipe;sim
phalaenopsis-pulcherrima.js;Phalaenopsis pulcherrima;Sul e Sudeste da Ásia.;Sul e Sudeste da Ásia;De Assam e Indochina até Hainan e oeste da Malésia.;Assam · Indochina · Hainan · oeste da Malésia;sim
dendrobium-spectabile.js;Dendrobium spectabile;Oceania tropical.;Oceania tropical;Nova Guiné, Ilhas Salomão, Vanuatu e Nova Caledônia.;Nova Guiné · Ilhas Salomão · Vanuatu · Nova Caledônia;sim
aerides-odorata.js;Aerides odorata;Ásia Tropical.;Ásia Tropical;Himalaia, sul da China, Sudeste Asiático e Malesia.;Himalaia · sul da China · Sudeste Asiático · Malesia;sim
anathallis-sclerophylla.js;Anathallis sclerophylla;América Tropical.;América Tropical;Do México e América Central à América do Sul, incluindo o Brasil.;México · América Central · América do Sul (incl. Brasil);sim
