arquivo;nome;confianca;iar_litoral;estrelas_litoral;H_litoral;T_litoral;A_litoral;V_litoral;L_litoral;S_litoral;F_litoral;iar_montanha;estrelas_montanha;H_montanha;T_montanha;A_montanha;V_montanha;L_montanha;S_montanha;F_montanha;status_taxonomico;fontes
oncidium-twinkle.js;Oncidium Twinkle;alta;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS; AOS/OrchidPro (dados públicos localizados)"
dendrobium-tenellum.js;Dendrobium tenellum;media;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
dendrobium-aggregatum.js;Dendrobium lindleyi;alta;78;4;4;4;3;4;4;3;4;84;5;4;4;3;4;4;5;5;Nome aceito usado na ficha: Dendrobium lindleyi.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
dendrobium-moscatum.js;Dendrobium moschatum;media;78;4;4;4;3;4;4;3;4;80;4;4;4;3;4;4;5;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
rodriguezia-venusta.js;Rodriguezia bracteata;alta;96;5;5;5;4;4;4;4;5;64;4;3;3;4;4;4;4;3;Nome aceito usado na ficha: Rodriguezia bracteata.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
rodriguezia-lanceolata.js;Rodriguezia lanceolata;alta;96;5;5;5;4;4;4;4;5;64;4;3;3;4;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
oncidium-pumilum.js;Trichocentrum pumilum;alta;95;5;5;5;3;4;4;4;5;63;4;3;3;3;4;4;4;3;Nome aceito usado na ficha: Trichocentrum pumilum.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
eria-hyacinthoides.js;Bryobium hyacinthoides;media;79;4;4;4;4;4;3;4;4;79;4;4;4;4;4;3;4;4;Nome aceito usado na ficha: Bryobium hyacinthoides.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
renanthera-coccinea.js;Renanthera coccinea;alta;98;5;5;5;4;5;5;4;5;64;4;3;3;4;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
spathoglottis-plicata.js;Spathoglottis plicata;alta;96;5;5;5;4;4;4;4;5;64;4;3;3;4;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cyrtopodium-podophyllum.js;Cyrtopodium flavum;alta;98;5;5;5;3;5;5;5;5;46;3;2;2;3;4;4;3;2;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
acianthera-glumacea.js;Acianthera glumacea;alta;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
miltonia-clowesii.js;Miltonia clowesii;alta;79;4;4;4;4;4;3;4;4;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
gomesa-recurva.js;Gomesa recurva;media;79;4;4;4;4;4;3;4;4;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
maxillaria-subulata.js;Maxillaria subulata;alta;79;4;4;4;4;4;3;4;4;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
maxillaria-tenuifolia.js;Maxillaria tenuifolia;alta;95;5;5;5;3;4;4;4;5;63;4;3;3;3;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
colmanara-wildcat.js;Oncostele Wildcat;media;64;4;3;3;4;4;4;4;3;80;4;4;4;4;4;4;4;4;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS"
brassavola-perrini.js;Brassavola tuberculata;alta;98;5;5;5;3;5;5;5;5;63;4;3;3;3;4;4;4;3;Nome aceito usado na ficha: Brassavola tuberculata.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
ornithophora-radicans.js;Gomesa radicans;media;80;4;4;4;4;4;4;4;4;80;4;4;4;4;4;4;4;4;Nome aceito usado na ficha: Gomesa radicans.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
coelogyne-ovalis-var-miniatum.js;Coelogyne ovalis ‘Miniatum’;media;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
coelogyne-cristata.js;Coelogyne cristata;alta;27;2;1;1;3;4;3;1;1;97;5;5;5;4;4;4;5;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
bc-turandot-x-blc-orange-show-x-blc-chunyeah.js;Brassocattleya Turandot × (Rhyncholaeliocattleya Orange Show × Rlc. Chunyeah);baixa;79;4;4;4;3;4;4;4;4;63;4;3;3;3;4;4;4;3;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS"
cattleya-schilleriana-x-cruzeiro-do-sul.js;Cattleya schilleriana × Cruzeiro do Sul;baixa;80;4;4;4;4;4;4;4;4;64;4;3;3;4;4;4;4;3;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS"
lc-trick-or-treat.js;Cattlianthe Trick or Treat;media;96;5;5;5;3;4;5;4;5;63;4;3;3;3;4;4;4;3;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS"
acianthera-aveniformis.js;Acianthera aveniformis;media;79;4;4;4;4;4;3;4;4;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
dryadella-aviceps.js;Dryadella aviceps;baixa;63;4;3;3;4;4;3;4;3;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
specklinia-grobyi.js;Specklinia grobyi;alta;95;5;5;5;4;4;3;4;5;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
dryadella-liliputiana.js;Dryadella lilliputiana;alta;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
leptotes-unicolor.js;Leptotes unicolor;media;63;4;3;3;3;4;4;4;3;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cattleya-aclandiae-tipo.js;Cattleya aclandiae;alta;97;5;5;5;3;5;5;4;5;47;3;2;2;3;4;4;4;2;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cattleya-lueddemanniana-tipo.js;Cattleya lueddemanniana;alta;97;5;5;5;3;5;5;4;5;63;4;3;3;3;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; AOS/OrchidPro (dados públicos localizados)"
cattleya-walkeriana.js;Cattleya walkeriana;alta;98;5;5;5;3;5;5;5;5;80;4;4;4;3;4;4;5;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cattleya-intermedia.js;Cattleya intermedia;alta;98;5;5;5;4;5;5;4;5;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cattleya-leopoldii-dark-princess.js;Cattleya tigrina 'Dark Princess';alta;98;5;5;5;4;5;5;4;5;48;3;2;2;4;4;4;4;2;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
laelia-fournieri.js;Cattleya fournieri;alta;49;3;2;2;3;5;5;4;2;97;5;5;5;3;5;5;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
lockhartia-lunifera.js;Lockhartia lunifera;media;80;4;4;4;4;4;4;4;4;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
jacquiniella-globosa.js;Jacquiniella globosa;alta;95;5;5;5;4;4;3;4;5;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
camaridium-carinatum.js;Maxillaria imbricata;media;79;4;4;4;4;4;3;4;4;80;4;4;4;4;4;4;4;4;Nome aceito usado na ficha: Maxillaria imbricata.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
acianthera-pubescens.js;Acianthera pubescens;alta;79;4;4;4;4;4;3;4;4;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
maxillaria-leucaimata.js;Maxillaria leucaimata;alta;79;4;4;4;3;4;4;4;4;79;4;4;4;3;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
coelogyne-asperata.js;Coelogyne asperata;alta;96;5;5;5;4;4;4;4;5;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
coelogyne-flaccida.js;Coelogyne flaccida;media;63;4;3;3;4;4;3;4;3;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
howeara-lava-burst.js;Leomesezia Lava Burst;media;80;4;4;4;4;4;4;4;4;80;4;4;4;4;4;4;4;4;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS; AOS/OrchidPro (dados públicos localizados)"
epicattleya-rene-marques.js;Epicattleya René Marqués;media;79;4;4;4;3;4;4;4;4;63;4;3;3;3;4;4;4;3;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS; AOS/OrchidPro (dados públicos localizados)"
coelogyne-fimbriata.js;Coelogyne fimbriata;media;79;4;4;4;4;4;3;4;4;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
maxillaria-picta.js;Maxillaria picta;media;63;4;3;3;4;4;3;4;3;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
maxillaria-chrysantha.js;Maxillaria chrysantha;alta;31;2;1;1;4;4;3;4;1;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
miltonia-regnellii.js;Miltonia regnellii;media;63;4;3;3;4;4;3;4;3;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
neobenthamia-gracilis.js;Polystachya neobenthamia;alta;48;3;2;2;4;4;4;4;2;96;5;5;5;4;4;4;4;5;Nome aceito usado na ficha: Polystachya neobenthamia.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
aspasia-lunata.js;Aspasia lunata;alta;79;4;4;4;4;4;3;4;4;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cyrtopodium-saintlegerianum.js;Cyrtopodium saintlegerianum;alta;97;5;5;5;2;5;5;5;5;62;4;3;3;2;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cattleya-warneri.js;Cattleya warneri;alta;98;5;5;5;4;5;5;4;5;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
bulbophyllum-elassonotum.js;Bulbophyllum elassonotum;alta;95;5;5;5;4;4;3;4;5;63;4;3;3;4;4;3;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
bulbophyllum-miniatum.js;Bulbophyllum saltatorium var. albociliatum;alta;95;5;5;5;4;4;3;4;5;63;4;3;3;4;4;3;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
bulbophyllum-sikkimense.js;Bulbophyllum roxburghii;media;63;4;3;3;4;4;3;4;3;79;4;4;4;4;4;3;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
cattlianthe-ctt-jewel-box.js;Cattlianthe Jewel Box;media;96;5;5;5;3;4;5;4;5;63;4;3;3;3;4;4;4;3;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS; AOS/OrchidPro (dados públicos localizados)"
cattleya-loddigesii.js;Cattleya loddigesii;alta;81;5;4;4;4;4;5;4;4;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
laelia-cinnabarina.js;Cattleya cinnabarina;alta;49;3;2;2;3;5;5;4;2;97;5;5;5;3;5;5;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
laelia-lundii.js;Cattleya lundii;alta;63;4;3;3;3;4;4;4;3;96;5;5;5;3;4;4;5;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
catasetum-mattosianum.js;Catasetum mattosianum;media;98;5;5;5;3;5;5;5;5;64;4;3;3;3;4;4;5;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
laelia-gloriosa.js;Laelia gloriosa;alta;80;4;4;4;4;4;4;4;4;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
encyclia-bracteata.js;Encyclia bracteata;media;79;4;4;4;3;4;4;4;4;79;4;4;4;3;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
stanhopea-assidensis.js;Stanhopea Assidensis;media;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;"Híbrido horticultural; taxonomia botânica de espécie não se aplica diretamente.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies; OrchidRoots/RHS"
dichaea-pendula.js;Dichaea pendula;alta;95;5;5;5;5;4;2;4;5;80;4;4;4;5;4;3;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
dichaea-cogniauxiana.js;Dichaea cogniauxiana;alta;48;3;2;2;5;5;2;4;2;97;5;5;5;5;5;3;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
promenaea-guttata.js;Promenaea Guttata;alta;48;3;2;2;5;5;2;4;2;97;5;5;5;5;5;3;4;5;"Nome mantido no catálogo por decisão editorial; POWO adota Promenaea stapelioides subsp. xanthina.";"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
encyclia-gallopavina.js;Encyclia gallopavina;alta;96;5;5;5;4;4;4;4;5;64;4;3;3;4;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
stanhopea-guttulata.js;Stanhopea guttulata;media;47;3;2;2;4;4;3;4;2;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
isabelia-virginalis.js;Isabelia virginalis;alta;81;5;4;4;4;5;4;4;4;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
huntleya-meleagris.js;Huntleya meleagris;alta;64;4;3;3;5;5;2;4;3;97;5;5;5;5;5;3;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
miltonia-spectabilis-var-moreliana.js;Miltonia moreliana;alta;95;5;5;5;4;4;3;4;5;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
oncidium-pubes.js;Gomesa pubes;media;79;4;4;4;4;4;3;4;4;80;4;4;4;4;4;4;4;4;Nome aceito usado na ficha: Gomesa pubes.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
miltonia-candida.js;Miltonia candida;alta;79;4;4;4;4;4;3;4;4;96;5;5;5;4;4;4;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
ornithocephalus-myrticola.js;Ornithocephalus myrticola;media;64;4;3;3;5;5;2;4;3;97;5;5;5;5;5;3;4;5;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
notylia-pubescens.js;Notylia pubescens;media;79;4;4;4;4;4;3;4;4;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
trichocentrum-fuscum.js;Trichocentrum fuscum;media;79;4;4;4;4;4;3;4;4;80;4;4;4;4;4;4;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
bifrenaria-harrisoniae.js;Bifrenaria harrisoniae;alta;97;5;5;5;3;5;5;4;5;63;4;3;3;3;4;4;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
maxillaria-pumila-ex-minuta.js;Maxillaria pumila (ex-minuta);alta;95;5;5;5;4;4;3;4;5;63;4;3;3;4;4;3;4;3;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
ludisia-discolor.js;Ludisia discolor;alta;95;5;5;5;5;4;2;4;5;47;3;2;2;4;4;3;4;2;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
bulbophyllum-ambrosia.js;Bulbophyllum ambrosia;alta;79;4;4;4;4;4;3;4;4;79;4;4;4;4;4;3;4;4;Espécie/nome infraespecífico tratado como aceito na revisão taxonômica de referência.;"POWO/Kew; WFO/IPNI; GBIF/Tropicos; IOSPE/OrchidSpecies"
