arquivo,nome,tipo,raridade_anterior,indice,raridade_nova,confianca,distribuicao,ocorrencias_proxy,endemismo_habitat,hibrido
bulbophyllum-roxburghii.js,Bulbophyllum roxburghii,Espécie botânica epífita asiática,3,51,3,55,55,50,40,False
bulbophyllum-saltatorium-var-albociliatum.js,Bulbophyllum saltatorium var. albociliatum,Variedade botânica epífita africana,4,54,3,55,50,70,40,False
bulbophyllum-sikkimense.js,Bulbophyllum roxburghii,Espécie botânica — ficha histórica,3,48,3,55,50,50,40,False
bulbophyllum-syciobulbon.js,Bulbophyllum sicyobulbon,Espécie botânica epífita montana,5,53,3,55,30,90,50,False
camaridium-carinatum.js,Maxillaria imbricata,Espécie botânica — nome aceito atual,4,39,2,55,25,70,30,False
catasetum-mattosianum.js,Catasetum mattosianum,Espécie botânica brasileira — caducifólia,4,81,5,55,85,70,80,False
cattleya-a-brazilian-dream.js,Cattleya A Brazilian Dream,Híbrido primário registrado,4,54,3,55,50,70,40,False
cattleya-aclandiae-tipo.js,Cattleya aclandiae,Espécie botânica — forma tipo,4,77,4,55,70,70,90,False
cattleya-chocolate-drop.js,Cattlianthe Chocolate Drop,Híbrido primário — C. guttata × Guarianthe aurantiaca,2,51,3,55,55,30,60,False
cattleya-guttata-var-coerulea.js,Cattleya guttata f. coerulea,Espécie botânica — forma horticultural coerulea,4,62,4,55,50,70,70,False
cattleya-intermedia.js,Cattleya intermedia,Espécie botânica bifoliada,2,48,3,55,55,30,50,False
cattleya-leopoldii-dark-princess.js,Cattleya tigrina 'Dark Princess',Espécie botânica,4,59,3,55,50,70,60,False
cattleya-loddigesii.js,Cattleya loddigesii,Espécie botânica,2,60,4,55,70,30,70,False
cattleya-lueddemanniana-tipo.js,Cattleya lueddemanniana,Espécie botânica — forma tipo,3,57,3,55,70,50,40,False
cattleya-nobilior-var-amaliae.js,Cattleya nobilior var. amaliae,Espécie botânica — forma horticultural/tradicional amaliae,4,68,4,55,70,70,60,False
cattleya-pumpkin-festival.js,Cattleya Pumpkin Festival,Híbrido horticultural complexo,4,,4,0,,,,True
cattleya-schilleriana-x-cruzeiro-do-sul.js,Cattleya schilleriana × Cruzeiro do Sul,Híbrido hortícola,4,68,4,55,70,70,60,False
cattleya-schilleriana.js,Cattleya schilleriana,Espécie botânica,5,88,5,55,85,90,90,False
cattleya-violacea-f-flamea.js,Cattleya violacea f. flamea,Espécie botânica — forma horticultural,5,42,3,55,25,90,20,False
cattleya-violacea-f-suavissima-x-self.js,Cattleya violacea f. suavissima × self,Espécie botânica — progênie horticultural,5,59,3,55,50,90,40,False
cattleya-walkeriana-f-alba-gnomus-x-f-alba-suprema.js,Cattleya walkeriana (f. alba 'Gnomus' × f. alba 'Suprema'),Espécie botânica — progênie entre clones albos,5,65,4,55,50,90,60,False
cattleya-walkeriana.js,Cattleya walkeriana,Espécie botânica,4,62,4,55,50,70,70,False
cattleya-warneri.js,Cattleya warneri,Espécie botânica,4,68,4,55,70,70,60,False
cattlianthe-ctt-jewel-box.js,Cattlianthe Jewel Box,Híbrido hortícola intergenérico — Cattleya × Guarianthe,2,43,3,55,50,30,40,False
coelogyne-asperata.js,Coelogyne asperata,Espécie botânica,3,31,2,55,25,50,20,False
coelogyne-cristata.js,Coelogyne cristata,Espécie botânica,3,42,3,55,30,50,50,False
coelogyne-fimbriata.js,Coelogyne fimbriata,Espécie botânica,3,53,3,55,55,50,50,False
coelogyne-flaccida.js,Coelogyne flaccida,Espécie botânica,3,49,3,55,45,50,50,False
coelogyne-ovalis-var-miniatum.js,Coelogyne ovalis ‘Miniatum’,Espécie botânica sob rótulo horticultural ‘Miniatum’ — identidade do exemplar a confirmar em flor,4,49,3,55,45,70,30,False
colmanara-wildcat.js,Oncostele Wildcat,Híbrido intergenérico registrado em 1992,2,,2,0,,,,True
cyrtopodium-podophyllum.js,Cyrtopodium flavum,Espécie botânica — arquivo histórico mantido para compatibilidade,3,53,3,55,55,50,50,False
cyrtopodium-saintlegerianum.js,Cyrtopodium saintlegerianum,Espécie botânica,4,51,3,55,45,70,40,False
dendrobium-aggregatum.js,Dendrobium lindleyi,Espécie botânica — tradicionalmente cultivada como Dendrobium aggregatum,2,39,2,55,55,30,20,False
dendrobium-loddigesii.js,Dendrobium loddigesii,Espécie botânica,2,56,3,55,70,30,55,False
dendrobium-moscatum.js,Dendrobium moschatum,Espécie botânica — epífita flexível em cultivo,3,57,3,55,70,50,40,False
dendrobium-polysema.js,Dendrobium polysema,Espécie botânica,4,66,4,55,70,70,50,False
dendrobium-spectabile.js,Dendrobium spectabile,Espécie botânica epífita da Oceania,4,66,4,55,70,70,50,False
dendrobium-tenellum.js,Dendrobium tenellum,Espécie botânica,4,85,5,55,85,70,95,False
dichaea-cogniauxiana.js,Dichaea cogniauxiana,Espécie botânica,4,59,3,55,50,70,60,False
dichaea-pendula.js,Dichaea pendula,Espécie botânica,3,44,3,55,35,50,50,False
dryadella-aviceps.js,Dryadella aviceps,Espécie botânica,3,52,3,55,55,50,45,False
dryadella-liliputiana.js,Dryadella lilliputiana,Espécie botânica,5,64,4,55,55,90,50,False
encyclia-alboxanthina.js,Encyclia alboxanthina,Espécie botânica brasileira,5,74,4,55,70,90,60,False
encyclia-bracteata.js,Encyclia bracteata,Espécie botânica,3,54,3,55,50,50,60,False
encyclia-gallopavina.js,Encyclia gallopavina,Espécie botânica,3,54,3,55,50,50,60,False
encyclia-mineirinha.js,Encyclia ‘Mineirinha’,Híbrido primário interespecífico,3,63,4,55,70,50,60,False
encyclia-oncidioides.js,Encyclia oncidioides,Espécie botânica,3,66,4,55,70,50,70,False
epicattleya-rene-marques.js,Epicattleya René Marqués,Híbrido intergenérico horticultural,2,,2,0,,,,True
epidendrum-centropetalum.js,Epidendrum centropetalum,Espécie botânica epífita centro-americana,4,60,4,55,55,70,55,False
eria-hyacinthoides.js,Bryobium hyacinthoides,Espécie botânica — nome atualizado,4,39,2,55,25,70,30,False
gomesa-recurva.js,Gomesa recurva,Espécie botânica,3,46,3,55,45,50,40,False
gongora-bufonia.js,Gongora bufonia,Espécie botânica,3,63,4,55,70,50,60,False
howeara-lava-burst.js,Leomesezia Lava Burst,Híbrido intergenérico,2,,2,0,,,,True
huntleya-meleagris.js,Huntleya meleagris,Espécie botânica,4,48,3,55,25,70,60,False
index.js,index,,3,48,3,55,50,50,40,False
isabelia-virginalis.js,Isabelia virginalis,Espécie botânica,4,54,3,55,45,70,50,False
isochilus-linearis.js,Isochilus linearis,Espécie botânica,3,57,3,55,70,50,40,False
jacquiniella-globosa.js,Jacquiniella globosa,Espécie botânica,3,59,3,55,55,50,70,False
laelia-caulencens.js,Cattleya caulescens,Espécie botânica litófita/rupícola,4,83,5,55,85,70,90,False
laelia-cinnabarina.js,Cattleya cinnabarina,Espécie botânica — grupo histórico das Laelias rupícolas,3,67,4,55,70,50,75,False
laelia-fournieri.js,Cattleya fournieri,Espécie botânica rara — miniatura rupícola,5,90,5,55,85,90,95,False
laelia-gloriosa.js,Laelia gloriosa,Espécie botânica,4,44,3,55,30,70,40,False
laelia-lundii-alba.js,Cattleya lundii f. alba,Forma alba horticultural,5,77,4,55,70,90,70,False
laelia-lundii.js,Cattleya lundii,Espécie botânica,4,47,3,55,30,70,50,False
laelia-praestans.js,Cattleya praestans,Espécie botânica,4,81,5,55,85,70,80,False
laelia-splendida.js,Laelia splendida,Espécie botânica epífita ou rupícola sul-americana,4,59,3,55,55,70,50,False
lc-trick-or-treat.js,Cattlianthe Trick or Treat,Híbrido registrado,2,43,3,55,50,30,40,False
leptotes-unicolor.js,Leptotes unicolor,Espécie botânica,3,51,3,55,55,50,40,False
lockhartia-lunifera.js,Lockhartia lunifera,Espécie botânica,3,63,4,55,70,50,60,False
ludisia-discolor.js,Ludisia discolor,Espécie botânica — orquídea-joia,2,25,2,55,25,30,20,False
maxillaria-brasiliensis.js,Maxillaria brasiliensis,Espécie botânica,3,63,4,55,70,50,60,False
maxillaria-chrysantha.js,Maxillaria chrysantha,Espécie botânica,3,57,3,55,50,50,70,False
maxillaria-leucaimata.js,Maxillaria leucaimata,Espécie botânica,4,71,4,55,70,70,70,False
maxillaria-picta.js,Maxillaria picta,Espécie botânica,4,59,3,55,55,70,50,False
maxillaria-pumila-ex-minuta.js,Maxillaria pumila (ex-minuta),Espécie botânica,3,31,2,55,25,50,20,False
maxillaria-schunkeana.js,Maxillaria schunkeana,Espécie botânica,5,86,5,55,85,90,80,False
maxillaria-subulata.js,Maxillaria subulata,Espécie botânica,3,66,4,55,70,50,70,False
maxillaria-tenuifolia.js,Maxillaria tenuifolia,Espécie botânica,2,42,3,55,45,30,45,False
mediocalcar-decoratum.js,Mediocalcar decoratum,Espécie botânica,4,66,4,55,70,70,50,False
miltonia-candida.js,Miltonia candida,Espécie botânica,3,54,3,55,50,50,60,False
miltonia-clowesii.js,Miltonia clowesii,Espécie botânica,3,54,3,55,50,50,60,False
miltonia-regnellii.js,Miltonia regnellii,Espécie botânica,3,54,3,55,50,50,60,False
miltonia-russelliana.js,Miltonia russelliana,Espécie botânica epífita brasileira,4,59,3,55,50,70,60,False
miltonia-spectabilis-var-moreliana.js,Miltonia moreliana,Espécie botânica,3,54,3,55,50,50,60,False
neobenthamia-gracilis.js,Polystachya neobenthamia,Espécie botânica terrestre ou rupícola,4,82,5,55,85,70,85,False
notylia-pubescens.js,Notylia pubescens,Espécie botânica,3,54,3,55,50,50,60,False
octomeria-diaphana.js,Octomeria diaphana,Espécie botânica,3,54,3,55,50,50,60,False
octomeria-micrantha.js,Octomeria micrantha,Espécie botânica,3,46,3,55,45,50,40,False
oncidium-pubes.js,Gomesa pubes,Espécie botânica,3,63,4,55,70,50,60,False
oncidium-pumilum.js,Trichocentrum pumilum,Espécie botânica,3,51,3,55,55,50,40,False
oncidium-twinkle.js,Oncidium Twinkle,Híbrido horticultural,2,,2,0,,,,True
ornithocephalus-myrticola.js,Ornithocephalus myrticola,Espécie botânica,5,67,4,55,50,90,70,False
ornithophora-radicans.js,Gomesa radicans,Espécie botânica,3,54,3,55,50,50,60,False
pabstiella-trifida.js,Pabstiella trifida,Espécie botânica,4,62,4,55,50,70,70,False
phaius-tankervilleae-alba.js,Calanthe tankervilleae — forma alba,Espécie botânica — forma alba horticultural,4,36,2,55,25,70,20,False
phalaenopsis-mannii.js,Phalaenopsis mannii,Espécie botânica,4,43,3,55,25,70,45,False
phalaenopsis-pulcherrima.js,Phalaenopsis pulcherrima,Espécie botânica litófita ou terrestre asiática,3,34,2,55,25,50,30,False
pleurothallis-modestissima.js,Acianthera modestissima,Espécie botânica,4,81,5,55,85,70,80,False
promenaea-guttata.js,Promenaea Guttata,Espécie botânica — subespécie,4,59,3,55,50,70,60,False
promenaea-xanthina.js,Promenaea xanthina,Espécie botânica epífita brasileira,4,62,4,55,50,70,70,False
renanthera-coccinea.js,Renanthera coccinea,Espécie botânica,3,39,2,55,30,50,40,False
rlc-turandot-x-rth-orange-show-x-rlc-chunyeah.js,Rlc. Turandot × (Rth. Orange Show × Rlc. Chunyeah),Híbrido hortícola complexo,3,48,3,55,50,50,40,False
rodricidium.js,Rodricidium (Rdcm.),Nothogênero híbrido (Oncidium × Rodriguezia),2,,2,0,,,,True
rodriguezia-lanceolata.js,Rodriguezia lanceolata,Espécie botânica,2,38,2,55,25,30,65,False
rodriguezia-venusta.js,Rodriguezia bracteata,Espécie botânica,3,42,3,55,25,50,60,False
sophronitis-cernua-var-litoranea.js,Cattleya cernua — forma litorânea,Forma geográfica / ecótipo natural costeiro,4,71,4,55,70,70,70,False
sophronitis-cernua.js,Cattleya cernua,Espécie botânica miniatura,3,49,3,55,45,50,50,False
sophronitis-wittigiana.js,Cattleya wittigiana,Espécie botânica — sinônimo: Sophronitis wittigiana,5,90,5,55,85,90,95,False
spathoglottis-plicata.js,Spathoglottis plicata,Espécie botânica terrestre,1,21,2,55,25,10,25,False
specklinia-grobyi.js,Specklinia grobyi,Espécie botânica,3,31,2,55,25,50,20,False
stanhopea-assidensis.js,Stanhopea Assidensis,Híbrido primário artificial — Stanhopea tigrina × Stanhopea wardii,4,66,4,55,70,70,50,False
stanhopea-guttulata.js,Stanhopea guttulata,Espécie botânica,4,68,4,55,70,70,60,False
stanhopea-hernandezii.js,Stanhopea hernandezii,Espécie botânica,4,66,4,55,70,70,50,False
trichocentrum-fuscum.js,Trichocentrum fuscum,Espécie botânica,4,36,2,55,25,70,20,False
zygolum-louisendorf.js,Zygolum Louisendorf,Híbrido intergenérico registrado,3,,3,0,,,,True
zygopetalum-maculatum.js,Zygopetalum maculatum,Espécie botânica,3,49,3,55,45,50,50,False
