IDC 2.0 — AUDITORIA DAS FICHAS ATIVAS DO CATÁLOGO

Quanto maior o índice, maior a dificuldade.
Faixas: 0–29 Fácil | 30–59 Moderada | 60–89 Difícil | 90–100 Extrema
 25 | Fácil    | Rhyncholaeliocattleya Chia Lin | T=0 A=1 UV=1 L=2 R=1 C=4 F=1
 26 | Fácil    | Acianthera modestissima | T=1 A=1 UV=2 L=3 R=1 C=1 F=1
 26 | Fácil    | Brassavola tuberculata | T=2 A=2 UV=1 L=2 R=1 C=0 F=1
 26 | Fácil    | Calanthe tankervilleae — forma alba | T=1 A=1 UV=1 L=2 R=1 C=1 F=2
 26 | Fácil    | Leomesezia Lava Burst | T=1 A=1 UV=1 L=2 R=1 C=1 F=2
 26 | Fácil    | Polystachya neobenthamia | T=0 A=1 UV=1 L=1 R=1 C=5 F=1
 27 | Fácil    | Cattleya walkeriana (f. alba 'Gnomus' × f. alba 'Suprema') | T=1 A=1 UV=1 L=3 R=3 C=0 F=1
 27 | Fácil    | Epicattleya René Marqués | T=2 A=1 UV=1 L=2 R=1 C=0 F=2
 28 | Fácil    | Cattlianthe Jewel Box | T=1 A=1 UV=2 L=2 R=1 C=1 F=2
 28 | Fácil    | Miltonia clowesii | T=1 A=1 UV=1 L=1 R=3 C=0 F=2
 28 | Fácil    | Trichocentrum pumilum | T=1 A=1 UV=2 L=2 R=1 C=1 F=2
 29 | Fácil    | Cattleya lundii f. alba | T=1 A=1 UV=1 L=2 R=1 C=4 F=1
 29 | Fácil    | Leptotes unicolor | T=3 A=1 UV=2 L=2 R=1 C=0 F=1
 30 | Moderada | Coelogyne asperata | T=0 A=1 UV=1 L=2 R=1 C=1 F=4
 30 | Moderada | Miltonia candida | T=1 A=1 UV=1 L=1 R=1 C=5 F=1
 31 | Moderada | Arpophyllum giganteum | T=3 A=1 UV=2 L=2 R=1 C=1 F=1
 31 | Moderada | Gomesa radicans | T=0 A=1 UV=2 L=1 R=1 C=1 F=4
 31 | Moderada | Notylia pubescens | T=0 A=3 UV=1 L=2 R=4 C=0 F=1
 32 | Moderada | Dryadella aviceps | T=3 A=1 UV=1 L=2 R=1 C=4 F=0
 32 | Moderada | Encyclia ‘Mineirinha’ | T=0 A=1 UV=2 L=2 R=1 C=1 F=4
 32 | Moderada | Maxillaria tenuifolia | T=2 A=1 UV=2 L=2 R=1 C=1 F=2
 32 | Moderada | Specklinia grobyi | T=1 A=3 UV=4 L=2 R=1 C=0 F=1
 33 | Moderada | Encyclia bracteata | T=1 A=1 UV=1 L=2 R=1 C=4 F=2
 33 | Moderada | Laelia splendida | T=1 A=1 UV=1 L=3 R=3 C=1 F=2
 33 | Moderada | Maxillaria schunkeana | T=1 A=1 UV=2 L=3 R=3 C=0 F=2
 33 | Moderada | Oncidium Twinkle | T=2 A=1 UV=2 L=1 R=2 C=1 F=2
 34 | Moderada | Cattleya walkeriana | T=2 A=1 UV=1 L=2 R=2 C=0 F=3
 35 | Moderada | Bulbophyllum rothschildianum | T=3 A=1 UV=2 L=2 R=1 C=1 F=2
 35 | Moderada | Cattleya aclandiae | T=2 A=1 UV=1 L=1 R=3 C=0 F=3
 36 | Moderada | Cattlianthe Chocolate Drop | T=1 A=1 UV=2 L=2 R=1 C=1 F=4
 37 | Moderada | Bulbophyllum roxburghii | T=0 A=1 UV=1 L=2 R=1 C=4 F=4
 37 | Moderada | Dendrobium spectabile | T=0 A=1 UV=2 L=1 R=3 C=1 F=4
 37 | Moderada | Encyclia gallopavina | T=0 A=1 UV=1 L=2 R=1 C=4 F=4
 37 | Moderada | Miltonia russelliana | T=1 A=3 UV=2 L=2 R=1 C=4 F=1
 38 | Moderada | Bulbophyllum ambrosia | T=3 A=4 UV=1 L=2 R=1 C=1 F=1
 38 | Moderada | Cattleya cinnabarina | T=3 A=1 UV=1 L=1 R=1 C=4 F=2
 38 | Moderada | Gomesa recurva | T=3 A=1 UV=1 L=2 R=1 C=5 F=1
 38 | Moderada | Miltonia regnellii | T=1 A=1 UV=1 L=1 R=3 C=1 F=4
 39 | Moderada | Isochilus linearis | T=1 A=1 UV=4 L=1 R=1 C=1 F=4
 39 | Moderada | Maxillaria leucaimata | T=3 A=1 UV=1 L=1 R=1 C=1 F=4
 40 | Moderada | Brassia lawrenceana | T=1 A=3 UV=2 L=2 R=1 C=5 F=1
 40 | Moderada | Cattleya schilleriana × Cruzeiro do Sul | T=1 A=1 UV=1 L=2 R=3 C=1 F=4
 40 | Moderada | Coelogyne ovalis ‘Miniatum’ | T=3 A=1 UV=1 L=2 R=3 C=5 F=0
 40 | Moderada | Encyclia alboxanthina | T=0 A=1 UV=2 L=3 R=3 C=1 F=4
 41 | Moderada | Bifrenaria verboonenii | T=4 A=1 UV=1 L=2 R=2 C=0 F=3
 41 | Moderada | Bulbophyllum falcatum | T=3 A=1 UV=1 L=2 R=1 C=1 F=4
 41 | Moderada | Bulbophyllum saltatorium var. albociliatum | T=1 A=1 UV=4 L=2 R=1 C=1 F=4
 42 | Moderada | Bulbophyllum elassonotum | T=3 A=1 UV=2 L=2 R=1 C=4 F=2
 42 | Moderada | Cattleya praestans | T=1 A=1 UV=2 L=1 R=1 C=4 F=4
 42 | Moderada | Oncostele Wildcat | T=4 A=1 UV=1 L=2 R=1 C=0 F=4
 43 | Moderada | Bryobium hyacinthoides | T=3 A=1 UV=2 L=2 R=1 C=1 F=4
 43 | Moderada | Gongora bufonia | T=1 A=1 UV=2 L=2 R=1 C=4 F=4
 43 | Moderada | Maxillaria imbricata | T=3 A=1 UV=2 L=2 R=1 C=1 F=4
 43 | Moderada | Stanhopea guttulata | T=1 A=1 UV=2 L=2 R=1 C=4 F=4
 44 | Moderada | Acianthera pubescens | T=3 A=3 UV=1 L=2 R=1 C=0 F=4
 44 | Moderada | Cattleya intermedia | T=0 A=1 UV=4 L=2 R=1 C=4 F=4
 44 | Moderada | Cattleya tigrina 'Dark Princess' | T=4 A=1 UV=1 L=2 R=1 C=1 F=4
 45 | Moderada | Acianthera aveniformis | T=1 A=4 UV=5 L=1 R=4 C=0 F=1
 46 | Moderada | Cattleya schilleriana | T=2 A=1 UV=5 L=2 R=2 C=1 F=3
 46 | Moderada | Cattleya violacea f. suavissima × self | T=4 A=1 UV=1 L=2 R=1 C=5 F=2
 46 | Moderada | Coelogyne fimbriata | T=1 A=4 UV=5 L=2 R=3 C=1 F=1
 46 | Moderada | Cyrtopodium saintlegerianum | T=4 A=1 UV=2 L=3 R=1 C=0 F=4
 46 | Moderada | Dendrobium tenellum | T=4 A=1 UV=2 L=2 R=1 C=4 F=2
 47 | Moderada | Cattleya guttata f. coerulea | T=0 A=1 UV=2 L=3 R=3 C=4 F=4
 47 | Moderada | Gomesa pubes | T=1 A=1 UV=1 L=2 R=3 C=4 F=4
 47 | Moderada | Maxillaria picta | T=3 A=1 UV=2 L=2 R=3 C=5 F=1
 47 | Moderada | Rodriguezia bracteata | T=1 A=1 UV=1 L=2 R=3 C=4 F=4
 48 | Moderada | Dendrobium lindleyi | T=4 A=1 UV=1 L=2 R=3 C=0 F=4
 49 | Moderada | Bifrenaria harrisoniae | T=1 A=1 UV=2 L=2 R=3 C=4 F=4
 49 | Moderada | Cattleya loddigesii | T=1 A=1 UV=4 L=1 R=3 C=1 F=5
 49 | Moderada | Coelogyne flaccida | T=3 A=3 UV=2 L=2 R=1 C=1 F=4
 49 | Moderada | Jacquiniella globosa | T=3 A=3 UV=2 L=2 R=1 C=1 F=4
 50 | Moderada | Aspasia lunata | T=3 A=1 UV=2 L=2 R=1 C=4 F=4
 50 | Moderada | Bifrenaria aureofulva | T=3 A=1 UV=4 L=2 R=1 C=5 F=2
 50 | Moderada | Cattleya caulescens | T=3 A=1 UV=1 L=2 R=1 C=5 F=4
 50 | Moderada | Maxillaria chrysantha | T=3 A=3 UV=1 L=2 R=3 C=5 F=1
 50 | Moderada | Stanhopea Assidensis | T=3 A=1 UV=2 L=2 R=1 C=4 F=4
 51 | Moderada | Cattleya nobilior var. amaliae | T=3 A=1 UV=2 L=3 R=2 C=4 F=3
 51 | Moderada | Epidendrum centropetalum | T=3 A=1 UV=4 L=2 R=2 C=1 F=4
 52 | Moderada | Dendrobium polysema | T=3 A=1 UV=2 L=2 R=4 C=1 F=4
 53 | Moderada | Dryadella lilliputiana | T=4 A=1 UV=1 L=1 R=2 C=4 F=4
 54 | Moderada | Cattleya lundii | T=3 A=3 UV=1 L=2 R=1 C=4 F=4
 55 | Moderada | Acianthera glumacea | T=4 A=1 UV=4 L=2 R=3 C=0 F=4
 55 | Moderada | Coelogyne cristata | T=4 A=1 UV=1 L=2 R=2 C=4 F=4
 55 | Moderada | Dichaea cogniauxiana | T=3 A=1 UV=5 L=3 R=4 C=0 F=3
 55 | Moderada | Huntleya meleagris | T=2 A=1 UV=4 L=2 R=2 C=4 F=4
 55 | Moderada | Mediocalcar decoratum | T=4 A=1 UV=1 L=3 R=4 C=1 F=4
 55 | Moderada | Zygopetalum maculatum | T=4 A=1 UV=1 L=2 R=2 C=4 F=4
 56 | Moderada | Lockhartia lunifera | T=1 A=3 UV=5 L=2 R=1 C=4 F=4
 56 | Moderada | Maxillaria brasiliensis | T=3 A=1 UV=2 L=2 R=3 C=4 F=4
 56 | Moderada | Maxillaria subulata | T=3 A=1 UV=1 L=2 R=3 C=5 F=4
 57 | Moderada | Bulbophyllum sicyobulbon | T=4 A=1 UV=2 L=2 R=2 C=4 F=4
 57 | Moderada | Maxillaria pumila (ex-minuta) | T=1 A=1 UV=4 L=2 R=4 C=4 F=4
 58 | Moderada | Cattleya fournieri | T=4 A=1 UV=1 L=3 R=3 C=5 F=3
 58 | Moderada | Dendrobium loddigesii | T=3 A=3 UV=1 L=2 R=1 C=4 F=5
 58 | Moderada | Dichaea pendula | T=3 A=1 UV=4 L=2 R=2 C=4 F=4
 59 | Moderada | Octomeria micrantha | T=3 A=1 UV=2 L=2 R=4 C=4 F=4
 59 | Moderada | Ornithocephalus myrticola | T=3 A=3 UV=1 L=3 R=2 C=4 F=4
 60 | Difícil  | Promenaea xanthina | T=3 A=1 UV=4 L=3 R=2 C=4 F=4
 61 | Difícil  | Cattleya violacea f. flamea | T=4 A=1 UV=4 L=2 R=1 C=5 F=4
 64 | Difícil  | Miltonia moreliana | T=4 A=1 UV=2 L=1 R=4 C=5 F=4
 66 | Difícil  | Cattleya wittigiana | T=4 A=3 UV=2 L=2 R=3 C=4 F=4
 66 | Difícil  | Promenaea Guttata | T=3 A=4 UV=5 L=3 R=4 C=1 F=3
 70 | Difícil  | Octomeria diaphana | T=3 A=3 UV=4 L=2 R=4 C=4 F=4
 75 | Difícil  | Pabstiella trifida | T=4 A=3 UV=4 L=3 R=4 C=4 F=4
