arquivo;sol_direto_anterior;horario_anterior;sol_direto_final;horario_final;acao
maxillaria-tenuifolia.js;Somente sol suave;Até aproximadamente 08:30;Somente sol suave;Até aproximadamente 08:30;mantido
mediocalcar-decoratum.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
miltonia-candida.js;Somente sol fraco;Até aproximadamente 08:30 ou no fim da tarde;Somente sol fraco;Até aproximadamente 08:30 ou no fim da tarde;mantido
miltonia-clowesii.js;Somente sol muito suave;Até aproximadamente 08:30;Somente sol muito suave;Até aproximadamente 08:30;mantido
miltonia-regnellii.js;Somente sol fraco;Até 8h30 ou no fim da tarde;Somente sol fraco;Até 8h30 ou no fim da tarde;mantido
miltonia-russelliana.js;Somente sol fraco da manhã, se aclimatada;Luz filtrada brilhante ao longo do dia;Somente sol fraco da manhã, se aclimatada;Início da manhã;descrição luminosa substituída por horário suportado: Início da manhã
miltonia-spectabilis-var-moreliana.js;Somente sol suave;Até aproximadamente 08:30 ou no fim da tarde;Somente sol suave;Até aproximadamente 08:30 ou no fim da tarde;mantido
neobenthamia-gracilis.js;Aceita sol suave;Manhã até cerca de 9h;Aceita sol suave;Manhã até cerca de 9h;mantido
notylia-pubescens.js;Não;Apenas luminosidade filtrada;Não;;descrição luminosa removida do campo horário
octomeria-diaphana.js;Não;Luz filtrada o dia inteiro;Não;;descrição luminosa removida do campo horário
octomeria-micrantha.js;Não;Luz filtrada o dia inteiro;Não;;descrição luminosa removida do campo horário
oncidium-pubes.js;Sol fraco tolerado;Até cerca de 9h;Sol fraco tolerado;Até cerca de 9h;mantido
oncidium-pumilum.js;Somente suave;Até aproximadamente 08:30;Somente suave;Até aproximadamente 08:30;mantido
oncidium-twinkle.js;Somente muito suave;Até cerca de 8h;Somente muito suave;Até cerca de 8h;mantido
ornithocephalus-myrticola.js;Não;Luz indireta durante todo o dia;Não;;descrição luminosa removida do campo horário
ornithophora-radicans.js;Sim;Até 08:30, com aclimatação;Sim;Até 08:30, com aclimatação;mantido
pabstiella-trifida.js;Não;Somente claridade indireta;Não;;descrição luminosa removida do campo horário
phaius-tankervilleae-alba.js;Apenas sol fraco;Até cerca de 08:00;Apenas sol fraco;Até cerca de 08:00;mantido
phalaenopsis-mannii.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
phalaenopsis-pulcherrima.js;Tolera sol fraco da manhã após aclimatação;Luz filtrada brilhante ao longo do dia;Tolera sol fraco da manhã após aclimatação;Início da manhã;descrição luminosa substituída por horário suportado: Início da manhã
pleurothallis-modestissima.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
promenaea-guttata.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
promenaea-xanthina.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
renanthera-coccinea.js;Sim, com aclimatação;"Sol da manhã; plantas adaptadas toleram mais";Sim, com aclimatação;"Sol da manhã; plantas adaptadas toleram mais";mantido
rodricidium.js;Somente muito fraco;Até cerca de 08:30–09:00;Somente muito fraco;Até cerca de 08:30–09:00;mantido
rodriguezia-lanceolata.js;Somente suave e aclimatado;Até aproximadamente 08:30;Somente suave e aclimatado;Até aproximadamente 08:30;mantido
rodriguezia-venusta.js;Somente muito fraco e aclimatado;Até aproximadamente 08:00;Somente muito fraco e aclimatado;Até aproximadamente 08:00;mantido
sophronitis-cernua.js;Sim, suave e após aclimatação;Início da manhã até 09:00 ou 10:00;Sim, suave e após aclimatação;Início da manhã até 09:00 ou 10:00;mantido
sophronitis-wittigiana.js;Somente muito fraco;Antes das 08:00;Somente muito fraco;Antes das 08:00;mantido
spathoglottis-plicata.js;Recomendado com aclimatação;Preferencialmente até 10:00;Recomendado com aclimatação;Preferencialmente até 10:00;mantido
specklinia-grobyi.js;Não recomendado;Somente claridade indireta ou sol extremamente fraco antes de 07:30;Não recomendado;;sol não recomendado → horário removido
stanhopea-assidensis.js;Não recomendado;;Não recomendado;;sol não recomendado → horário removido
stanhopea-guttulata.js;Somente muito fraco;Até aproximadamente 07:30;Somente muito fraco;Até aproximadamente 07:30;mantido
stanhopea-hernandezii.js;Somente extremamente fraco;Até aproximadamente 07:30;Somente extremamente fraco;Até aproximadamente 07:30;mantido
trichocentrum-fuscum.js;Somente suave e aclimatado;Até aproximadamente 08:30;Somente suave e aclimatado;Até aproximadamente 08:30;mantido
zygolum-louisendorf.js;Somente muito fraco;Até aproximadamente 08:30;Somente muito fraco;Até aproximadamente 08:30;mantido
zygopetalum-maculatum.js;Somente fraco;Até aproximadamente 08:00, preferencialmente nos meses frios;Somente fraco;Até aproximadamente 08:00, preferencialmente nos meses frios;mantido
