arquivo;genero;sol_direto;exposicao_anterior;exposicao_final;criterio
dendrobium-tenellum.js;Dendrobium;Permitido com restrição;Início da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
encyclia-alboxanthina.js;Encyclia;Permitido com restrição;Início da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
encyclia-bracteata.js;Encyclia;Permitido com restrição;Sol fraco da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
encyclia-gallopavina.js;Encyclia;Permitido com restrição;Até cerca de 09:00;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
encyclia-mineirinha.js;Encyclia;Permitido com restrição;Até 09:00;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
encyclia-oncidioides.js;Encyclia;Permitido com restrição;Até aproximadamente 09:00;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
epicattleya-rene-marques.js;Epicattleya;Permitido;Até 09:00;Início da manhã ou final da tarde;"Sol direto já classificado como permitido; recomendadas as janelas de menor carga térmica no litoral quente."
epidendrum-centropetalum.js;Epidendrum;Permitido com restrição;;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
gomesa-recurva.js;Gomesa;Permitido com restrição;Até aproximadamente 08:30;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
howeara-lava-burst.js;Leomesezia;Permitido com restrição;Início da manhã, se houver boa ventilação;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
isabelia-virginalis.js;Isabelia;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
isochilus-linearis.js;Isochilus;Permitido com restrição;Primeiras horas da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
laelia-caulencens.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
laelia-cinnabarina.js;Cattleya;Permitido com restrição;Bem cedo pela manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
laelia-fournieri.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
laelia-gloriosa.js;Laelia;Permitido com restrição;Sol suave da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
laelia-lundii-alba.js;Cattleya;Permitido com restrição;Bem cedo pela manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
laelia-lundii.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
laelia-praestans.js;Cattleya;Permitido com restrição;Primeiras horas da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
laelia-splendida.js;Laelia;Permitido com restrição;Início da manhã;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
lc-trick-or-treat.js;Cattlianthe;Permitido com restrição;Primeiras horas da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
leptotes-unicolor.js;Leptotes;Permitido com restrição;Até aproximadamente 08:30;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
lockhartia-lunifera.js;Lockhartia;Permitido com restrição;Até aproximadamente 08:00;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
maxillaria-brasiliensis.js;Maxillaria;Permitido com restrição;Até aproximadamente 08:30;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
maxillaria-chrysantha.js;Maxillaria;Permitido com restrição;Até aproximadamente 08:00;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
maxillaria-leucaimata.js;Maxillaria;Permitido com restrição;Início da manhã ou fim da tarde;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
maxillaria-picta.js;Maxillaria;Permitido com restrição;Primeiras horas da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
maxillaria-pumila-ex-minuta.js;Maxillaria;Permitido com restrição;Até cerca de 08h30;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
maxillaria-subulata.js;Maxillaria;Permitido com restrição;Primeiras horas da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
maxillaria-tenuifolia.js;Maxillaria;Permitido com restrição;Até aproximadamente 08:30;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
miltonia-candida.js;Miltonia;Permitido com restrição;Até aproximadamente 08:30 ou no fim da tarde;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
miltonia-clowesii.js;Miltonia;Permitido com restrição;Até aproximadamente 08:30;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
miltonia-regnellii.js;Miltonia;Permitido com restrição;Até 8h30 ou no fim da tarde;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
miltonia-russelliana.js;Miltonia;Permitido com restrição;Início da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
miltonia-spectabilis-var-moreliana.js;Miltonia;Permitido com restrição;Até aproximadamente 08:30 ou no fim da tarde;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
neobenthamia-gracilis.js;Polystachya;Permitido com restrição;Manhã até cerca de 9h;Somente início da manhã;"Evidência insuficiente para liberar sol vespertino; mantida janela conservadora."
oncidium-pubes.js;Gomesa;Permitido com restrição;Até cerca de 9h;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
oncidium-pumilum.js;Trichocentrum;Permitido com restrição;Até aproximadamente 08:30;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
oncidium-twinkle.js;Oncidium;Permitido com restrição;Até cerca de 8h;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
ornithophora-radicans.js;Gomesa;Permitido;Até 08:30, com aclimatação;Início da manhã ou final da tarde;"Sol direto já classificado como permitido; recomendadas as janelas de menor carga térmica no litoral quente."
phaius-tankervilleae-alba.js;Calanthe;Permitido com restrição;Até cerca de 08:00;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
phalaenopsis-pulcherrima.js;Phalaenopsis;Permitido com restrição;Início da manhã;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
renanthera-coccinea.js;Renanthera;Permitido com restrição;"Sol da manhã; plantas adaptadas toleram mais";Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
rodricidium.js;Rodricidium;Permitido com restrição;Até cerca de 08:30–09:00;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
rodriguezia-lanceolata.js;Rodriguezia;Permitido com restrição;Até aproximadamente 08:30;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
rodriguezia-venusta.js;Rodriguezia;Permitido com restrição;Até aproximadamente 08:00;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
sophronitis-cernua.js;Cattleya;Permitido com restrição;Início da manhã até 09:00 ou 10:00;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
sophronitis-wittigiana.js;Cattleya;Permitido com restrição;Antes das 08:00;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
spathoglottis-plicata.js;Spathoglottis;Permitido com restrição;Preferencialmente até 10:00;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
stanhopea-guttulata.js;Stanhopea;Permitido com restrição;Até aproximadamente 07:30;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
stanhopea-hernandezii.js;Stanhopea;Permitido com restrição;Até aproximadamente 07:30;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
trichocentrum-fuscum.js;Trichocentrum;Permitido com restrição;Até aproximadamente 08:30;Início da manhã ou final da tarde;"Espécie/grupo de maior tolerância luminosa; admite sol fraco nas duas bordas do dia, evitando horas quentes."
zygolum-louisendorf.js;Zygolum;Permitido com restrição;Até aproximadamente 08:30;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
zygopetalum-maculatum.js;Zygopetalum;Permitido com restrição;Até aproximadamente 08:00, preferencialmente nos meses frios;Somente início da manhã;"Espécie/grupo sensível a calor ou associado a ambiente sombreado/úmido; janela conservadora."
