arquivo;IDC;classificacao;cultivo;temperatura;rega;umidade;ventilacao;luminosidade;raizesSubstrato;sazonalidade;floracao
acianthera-glumacea.js;16;Fácil;5;0;1;1;1;2;2;1;0
cyrtopodium-saintlegerianum.js;19;Fácil;5;0;3;3;0;0;2;0;0
bulbophyllum-falcatum.js;18;Fácil;5;0;1;1;1;2;2;3;0
pabstiella-trifida.js;28;Fácil;4;1;1;1;1;2;3;3;1
miltonia-regnellii.js;18;Fácil;5;0;1;1;1;2;2;3;0
dendrobium-aggregatum.js;23;Fácil;4;1;2;2;1;1;2;1;0
zygolum-louisendorf.js;26;Fácil;4;1;1;1;1;2;3;1;1
renanthera-coccinea.js;12;Fácil;5;0;1;1;0;0;3;1;0
specklinia-grobyi.js;18;Fácil;5;0;1;1;1;2;3;1;0
lockhartia-lunifera.js;24;Fácil;4;1;1;1;1;1;2;3;1
dendrobium-moscatum.js;29;Fácil;4;1;2;2;1;1;3;1;1
aerides-odorata.js;21;Fácil;4;0;2;2;0;1;3;3;0
oncidium-twinkle.js;18;Fácil;5;0;1;1;1;2;2;3;0
sophronitis-wittigiana.js;18;Fácil;5;0;1;1;1;2;2;3;0
eria-hyacinthoides.js;26;Fácil;4;1;1;1;1;2;2;3;1
maxillaria-chrysantha.js;16;Fácil;5;0;1;1;1;2;2;1;0
zygopetalum-maculatum.js;15;Fácil;5;0;0;0;1;2;3;3;0
cattleya-violacea-f-suavissima-x-self.js;13;Fácil;5;0;0;0;1;2;2;3;0
encyclia-bracteata.js;29;Fácil;4;1;2;2;1;1;2;3;1
ludisia-discolor.js;13;Fácil;5;0;0;0;1;2;2;3;0
bifrenaria-aureofulva.js;24;Fácil;4;1;1;1;1;1;3;1;1
catasetum-mattosianum.js;14;Fácil;5;0;2;2;0;0;2;0;0
stanhopea-guttulata.js;20;Fácil;4;0;1;1;1;2;3;3;0
encyclia-gallopavina.js;16;Fácil;5;0;1;1;1;1;2;3;0
bulbophyllum-ambrosia.js;26;Fácil;4;1;1;1;1;2;2;3;1
cattleya-pumpkin-festival.js;27;Fácil;4;1;2;2;1;1;2;1;1
maxillaria-subulata.js;26;Fácil;4;1;1;1;1;2;2;3;1
octomeria-diaphana.js;18;Fácil;5;0;1;1;1;2;2;3;0
cattleya-chocolate-drop.js;17;Fácil;5;0;2;2;0;0;2;3;0
gomesa-recurva.js;24;Fácil;4;1;1;1;1;2;2;1;1
dendrobium-spectabile.js;16;Fácil;5;0;1;1;1;1;2;3;0
neobenthamia-gracilis.js;16;Fácil;5;0;1;1;1;1;2;3;0
dryadella-aviceps.js;26;Fácil;4;1;1;1;1;2;2;3;1
sophronitis-cernua.js;14;Fácil;5;0;1;1;1;1;2;1;0
encyclia-alboxanthina.js;22;Fácil;4;0;3;3;0;0;2;3;0
dendrobium-polysema.js;18;Fácil;5;0;1;1;1;2;2;3;0
miltonia-spectabilis-var-moreliana.js;16;Fácil;5;0;1;1;1;2;2;1;0
bifrenaria-harrisoniae.js;17;Fácil;5;0;2;2;0;0;2;3;0
anathallis-sclerophylla.js;9;Fácil;5;0;0;0;0;2;2;1;0
cattleya-a-brazilian-dream.js;22;Fácil;4;1;2;2;0;0;2;0;1
miltonia-russelliana.js;18;Fácil;5;0;1;1;1;2;2;3;0
arpophyllum-giganteum.js;16;Fácil;5;0;1;1;1;1;2;3;0
coelogyne-fimbriata.js;26;Fácil;4;1;1;1;1;2;2;3;1
epidendrum-centropetalum.js;14;Fácil;5;0;1;1;0;1;3;1;0
phalaenopsis-mannii.js;19;Fácil;5;1;0;0;1;2;2;1;1
dichaea-cogniauxiana.js;9;Fácil;5;0;0;0;0;2;2;1;0
phalaenopsis-pulcherrima.js;21;Fácil;4;0;2;2;1;2;2;1;0
dryadella-liliputiana.js;18;Fácil;5;0;1;1;1;2;2;3;0
leptotes-unicolor.js;21;Fácil;4;0;2;2;1;1;3;1;0
acianthera-bragae.js;16;Fácil;5;0;1;1;1;2;2;1;0
spathoglottis-plicata.js;14;Fácil;5;0;1;1;1;1;2;1;0
phaius-tankervilleae-alba.js;13;Fácil;5;0;0;0;1;2;2;3;0
promenaea-guttata.js;13;Fácil;5;0;0;0;0;2;3;3;0
cattleya-intermedia.js;12;Fácil;5;0;1;1;0;0;2;3;0
coelogyne-asperata.js;16;Fácil;5;0;1;1;1;1;2;3;0
ornithophora-radicans.js;24;Fácil;4;1;1;1;1;1;2;3;1
coelogyne-ovalis-var-miniatum.js;16;Fácil;5;0;1;1;1;2;2;1;0
octomeria-micrantha.js;18;Fácil;5;0;1;1;1;2;2;3;0
acianthera-aveniformis.js;26;Fácil;4;1;1;1;1;2;3;1;1
isabelia-virginalis.js;12;Fácil;5;0;1;1;0;1;2;1;0
maxillaria-pumila-ex-minuta.js;20;Fácil;4;0;1;1;1;2;3;3;0
cattleya-guttata-var-coerulea.js;12;Fácil;5;0;1;1;0;0;2;3;0
