arquivo;nome;IDC;classificacao;cultivo_estrelas;nota_temperatura;nota_rega;nota_umidade;nota_ventilacao;nota_luminosidade;nota_raizesSubstrato;nota_sazonalidade;nota_floracao
cattleya-leopoldii-dark-princess.js;Cattleya tigrina 'Dark Princess';9;Fácil;5;0;1;1;0;0;2;3;0
cattleya-loddigesii.js;Cattleya loddigesii;10;Fácil;5;0;1;1;1;0;2;3;0
cattleya-lueddemanniana-tipo.js;Cattleya lueddemanniana;11;Fácil;5;0;2;2;0;0;2;1;0
cattleya-nobilior-var-amaliae.js;Cattleya nobilior var. amaliae;17;Fácil;5;0;3;3;0;0;2;3;0
cattleya-pumpkin-festival.js;Cattleya Pumpkin Festival;25;Fácil;4;1;2;2;1;1;2;1;1
cattleya-schilleriana-x-cruzeiro-do-sul.js;Cattleya schilleriana × Cruzeiro do Sul;23;Fácil;4;1;1;1;1;1;2;3;1
cattleya-schilleriana.js;Cattleya schilleriana;10;Fácil;5;0;1;1;0;1;2;1;0
cattleya-violacea-f-flamea.js;Cattleya violacea f. flamea;12;Fácil;5;0;0;0;1;2;2;3;0
cattleya-violacea-f-suavissima-x-self.js;Cattleya violacea f. suavissima × self;12;Fácil;5;0;0;0;1;2;2;3;0
cattleya-walkeriana-f-alba-gnomus-x-f-alba-suprema.js;Cattleya walkeriana (f. alba 'Gnomus' × f. alba 'Suprema');11;Fácil;5;0;2;2;0;0;3;0;0
cattleya-walkeriana.js;Cattleya walkeriana;11;Fácil;5;0;2;2;0;0;3;0;0
cattleya-warneri.js;Cattleya warneri;7;Fácil;5;0;1;1;0;0;2;1;0
cattlianthe-ctt-jewel-box.js;Cattlianthe Jewel Box;14;Fácil;5;0;2;2;1;0;2;3;0
coelogyne-asperata.js;Coelogyne asperata;13;Fácil;5;0;1;1;1;1;2;3;0
coelogyne-cristata.js;Coelogyne cristata;20;Fácil;4;0;2;2;1;2;2;3;0
coelogyne-fimbriata.js;Coelogyne fimbriata;26;Fácil;4;1;1;1;1;2;2;3;1
coelogyne-flaccida.js;Coelogyne flaccida;26;Fácil;4;1;1;1;1;2;2;3;1
coelogyne-ovalis-var-miniatum.js;Coelogyne ovalis ‘Miniatum’;14;Fácil;5;0;1;1;1;2;2;1;0
colmanara-wildcat.js;Oncostele Wildcat;21;Fácil;4;1;1;1;1;1;2;1;1
cyrtopodium-podophyllum.js;Cyrtopodium flavum;11;Fácil;5;0;2;2;0;0;2;1;0
cyrtopodium-saintlegerianum.js;Cyrtopodium saintlegerianum;14;Fácil;5;0;3;3;0;0;2;0;0
dendrobium-aggregatum.js;Dendrobium lindleyi;21;Fácil;4;1;2;2;1;1;2;1;0
dendrobium-loddigesii.js;Dendrobium loddigesii;16;Fácil;5;0;2;2;1;1;2;2;0
dendrobium-moscatum.js;Dendrobium moschatum;26;Fácil;4;1;2;2;1;1;3;1;1
dendrobium-polysema.js;Dendrobium polysema;16;Fácil;5;0;1;1;1;2;2;3;0
dendrobium-spectabile.js;Dendrobium spectabile;13;Fácil;5;0;1;1;1;1;2;3;0
dendrobium-tenellum.js;Dendrobium tenellum;16;Fácil;5;0;1;1;1;2;2;3;0
dichaea-cogniauxiana.js;Dichaea cogniauxiana;9;Fácil;5;0;0;0;0;2;2;1;0
dichaea-pendula.js;Dichaea pendula;12;Fácil;5;0;0;0;1;2;2;3;0
dryadella-aviceps.js;Dryadella aviceps;26;Fácil;4;1;1;1;1;2;2;3;1
dryadella-liliputiana.js;Dryadella lilliputiana;16;Fácil;5;0;1;1;1;2;2;3;0
encyclia-alboxanthina.js;Encyclia alboxanthina;17;Fácil;5;0;3;3;0;0;2;3;0
encyclia-bracteata.js;Encyclia bracteata;27;Fácil;4;1;2;2;1;1;2;3;1
encyclia-gallopavina.js;Encyclia gallopavina;13;Fácil;5;0;1;1;1;1;2;3;0
encyclia-mineirinha.js;Encyclia ‘Mineirinha’;27;Fácil;4;1;2;2;1;1;2;3;1
encyclia-oncidioides.js;Encyclia oncidioides;12;Fácil;5;0;2;2;0;0;3;1;0
epicattleya-rene-marques.js;Epicattleya René Marqués;25;Fácil;4;1;2;2;1;1;2;1;1
epidendrum-centropetalum.js;Epidendrum centropetalum;11;Fácil;5;0;1;1;0;1;3;1;0
eria-hyacinthoides.js;Bryobium hyacinthoides;26;Fácil;4;1;1;1;1;2;2;3;1
gomesa-recurva.js;Gomesa recurva;24;Fácil;4;1;1;1;1;2;2;1;1
gongora-bufonia.js;Gongora bufonia;16;Fácil;5;0;1;1;1;2;2;3;0
howeara-lava-burst.js;Leomesezia Lava Burst;23;Fácil;4;1;1;1;1;1;2;3;1
huntleya-meleagris.js;Huntleya meleagris;11;Fácil;5;0;0;0;0;2;2;3;0
isabelia-virginalis.js;Isabelia virginalis;10;Fácil;5;0;1;1;0;1;2;1;0
isochilus-linearis.js;Isochilus linearis;16;Fácil;5;0;1;1;1;2;2;3;0
jacquiniella-globosa.js;Jacquiniella globosa;16;Fácil;5;0;1;1;1;2;2;3;0
laelia-caulencens.js;Cattleya caulescens;13;Fácil;5;0;2;2;0;0;2;3;0
laelia-cinnabarina.js;Cattleya cinnabarina;13;Fácil;5;0;2;2;0;0;2;3;0
laelia-fournieri.js;Cattleya fournieri;14;Fácil;5;0;2;2;0;0;3;3;0
laelia-gloriosa.js;Laelia gloriosa;21;Fácil;4;1;1;1;1;1;2;1;1
laelia-lundii-alba.js;Cattleya lundii f. alba;18;Fácil;5;0;2;2;1;1;3;3;0
laelia-lundii.js;Cattleya lundii;18;Fácil;5;0;2;2;1;1;3;3;0
laelia-praestans.js;Cattleya praestans;16;Fácil;5;0;1;1;1;2;2;3;0
laelia-splendida.js;Laelia splendida;21;Fácil;4;1;2;2;0;0;2;1;1
lc-trick-or-treat.js;Cattlianthe Trick or Treat;12;Fácil;5;0;2;2;1;0;2;1;0
leptotes-unicolor.js;Leptotes unicolor;16;Fácil;5;0;2;2;1;1;3;1;0
lockhartia-lunifera.js;Lockhartia lunifera;23;Fácil;4;1;1;1;1;1;2;3;1
ludisia-discolor.js;Ludisia discolor;12;Fácil;5;0;0;0;1;2;2;3;0
maxillaria-brasiliensis.js;Maxillaria brasiliensis;16;Fácil;5;0;1;1;1;2;2;3;0
maxillaria-chrysantha.js;Maxillaria chrysantha;14;Fácil;5;0;1;1;1;2;2;1;0
maxillaria-leucaimata.js;Maxillaria leucaimata;27;Fácil;4;1;2;2;1;1;2;3;1
maxillaria-picta.js;Maxillaria picta;14;Fácil;5;0;1;1;1;2;2;1;0
maxillaria-pumila-ex-minuta.js;Maxillaria pumila (ex-minuta);17;Fácil;5;0;1;1;1;2;3;3;0
maxillaria-schunkeana.js;Maxillaria schunkeana;24;Fácil;4;1;1;1;1;2;2;1;1
maxillaria-subulata.js;Maxillaria subulata;26;Fácil;4;1;1;1;1;2;2;3;1
maxillaria-tenuifolia.js;Maxillaria tenuifolia;18;Fácil;5;0;2;2;1;1;3;3;0
mediocalcar-decoratum.js;Mediocalcar decoratum;16;Fácil;5;0;1;1;1;2;2;3;0
miltonia-candida.js;Miltonia candida;14;Fácil;5;0;1;1;1;2;2;1;0
miltonia-clowesii.js;Miltonia clowesii;24;Fácil;4;1;1;1;1;2;2;1;1
miltonia-regnellii.js;Miltonia regnellii;16;Fácil;5;0;1;1;1;2;2;3;0
miltonia-russelliana.js;Miltonia russelliana;16;Fácil;5;0;1;1;1;2;2;3;0
miltonia-spectabilis-var-moreliana.js;Miltonia moreliana;14;Fácil;5;0;1;1;1;2;2;1;0
neobenthamia-gracilis.js;Polystachya neobenthamia;13;Fácil;5;0;1;1;1;1;2;3;0
notylia-pubescens.js;Notylia pubescens;24;Fácil;4;1;1;1;1;2;2;1;1
octomeria-diaphana.js;Octomeria diaphana;16;Fácil;5;0;1;1;1;2;2;3;0
octomeria-micrantha.js;Octomeria micrantha;16;Fácil;5;0;1;1;1;2;2;3;0
oncidium-pubes.js;Gomesa pubes;26;Fácil;4;1;1;1;1;2;2;3;1
oncidium-pumilum.js;Trichocentrum pumilum;15;Fácil;5;0;2;2;1;1;2;1;0
oncidium-twinkle.js;Oncidium Twinkle;16;Fácil;5;0;1;1;1;2;2;3;0
ornithocephalus-myrticola.js;Ornithocephalus myrticola;12;Fácil;5;0;0;0;0;2;3;3;0
ornithophora-radicans.js;Gomesa radicans;23;Fácil;4;1;1;1;1;1;2;3;1
pabstiella-trifida.js;Pabstiella trifida;27;Fácil;4;1;1;1;1;2;3;3;1
phaius-tankervilleae-alba.js;Calanthe tankervilleae — forma alba;12;Fácil;5;0;0;0;1;2;2;3;0
phalaenopsis-mannii.js;Phalaenopsis mannii;20;Fácil;4;1;0;0;1;2;2;1;1
phalaenopsis-pulcherrima.js;Phalaenopsis pulcherrima;18;Fácil;5;0;2;2;1;2;2;1;0
pleurothallis-modestissima.js;Acianthera modestissima;14;Fácil;5;0;1;1;1;2;2;1;0
promenaea-guttata.js;Promenaea Guttata;12;Fácil;5;0;0;0;0;2;3;3;0
promenaea-xanthina.js;Promenaea xanthina;11;Fácil;5;0;0;0;0;2;2;3;0
renanthera-coccinea.js;Renanthera coccinea;8;Fácil;5;0;1;1;0;0;3;1;0
rodricidium.js;Rodricidium (Rdcm.);40;Moderada;3;2;2;2;2;2;2;2;2
rodriguezia-lanceolata.js;Rodriguezia lanceolata;11;Fácil;5;0;1;1;1;1;2;1;0
rodriguezia-venusta.js;Rodriguezia bracteata;13;Fácil;5;0;1;1;1;1;2;3;0
sophronitis-cernua.js;Cattleya cernua;11;Fácil;5;0;1;1;1;1;2;1;0
sophronitis-wittigiana.js;Cattleya wittigiana;16;Fácil;5;0;1;1;1;2;2;3;0
spathoglottis-plicata.js;Spathoglottis plicata;11;Fácil;5;0;1;1;1;1;2;1;0
specklinia-grobyi.js;Specklinia grobyi;15;Fácil;5;0;1;1;1;2;3;1;0
stanhopea-assidensis.js;Stanhopea Assidensis;17;Fácil;5;0;1;1;1;2;3;3;0
stanhopea-guttulata.js;Stanhopea guttulata;17;Fácil;5;0;1;1;1;2;3;3;0
stanhopea-hernandezii.js;Stanhopea hernandezii;15;Fácil;5;0;1;1;1;2;3;1;0
trichocentrum-fuscum.js;Trichocentrum fuscum;25;Fácil;4;1;1;1;1;2;3;1;1
zygolum-louisendorf.js;Zygolum Louisendorf;25;Fácil;4;1;1;1;1;2;3;1;1
zygopetalum-maculatum.js;Zygopetalum maculatum;13;Fácil;5;0;0;0;1;2;3;3;0
