arquivo;nome;IDC;classificacao;cultivo_estrelas;nota_temperatura;nota_rega;nota_umidade;nota_ventilacao;nota_luminosidade;nota_raizesSubstrato;nota_sazonalidade;nota_floracao
stanhopea-assidensis.js;Stanhopea Assidensis;54;Difícil;2;3;3;3;2;3;2;2;3
dichaea-pendula.js;Dichaea pendula;36;Moderada;3;2;2;2;2;1;2;1;2
dichaea-cogniauxiana.js;Dichaea cogniauxiana;56;Difícil;2;3;3;3;3;3;2;2;3
promenaea-guttata.js;Promenaea Guttata;54;Difícil;2;3;3;3;2;3;2;2;3
encyclia-gallopavina.js;Encyclia gallopavina;40;Moderada;3;2;2;2;2;2;1;1;3
stanhopea-guttulata.js;Stanhopea guttulata;29;Moderada;4;1;2;2;2;1;2;1;1
isabelia-virginalis.js;Isabelia virginalis;32;Moderada;4;2;2;1;1;2;1;1;2
huntleya-meleagris.js;Huntleya meleagris;52;Difícil;2;3;3;2;2;3;2;2;3
miltonia-spectabilis-var-moreliana.js;Miltonia moreliana;32;Moderada;4;2;2;1;1;2;1;1;2
oncidium-pubes.js;Gomesa pubes;36;Moderada;3;2;2;2;2;2;1;1;2
miltonia-candida.js;Miltonia candida;45;Moderada;3;3;2;2;2;2;2;1;3
ornithocephalus-myrticola.js;Ornithocephalus myrticola;38;Moderada;3;2;2;2;2;2;2;1;2
notylia-pubescens.js;Notylia pubescens;32;Moderada;4;2;2;1;1;2;1;1;2
trichocentrum-fuscum.js;Trichocentrum fuscum;32;Moderada;4;2;2;1;1;2;1;1;2
bifrenaria-harrisoniae.js;Bifrenaria harrisoniae;38;Moderada;3;2;2;2;2;2;2;1;2
maxillaria-pumila-ex-minuta.js;Maxillaria pumila (ex-minuta);42;Moderada;3;2;2;2;2;2;2;1;3
ludisia-discolor.js;Ludisia discolor;22;Fácil;5;1;1;1;1;1;1;0;2
bulbophyllum-ambrosia.js;Bulbophyllum ambrosia;42;Moderada;3;2;2;2;2;2;2;1;3
cattleya-guttata-var-coerulea.js;Cattleya guttata f. coerulea;34;Moderada;4;2;2;2;1;2;1;1;2
octomeria-diaphana.js;Octomeria diaphana;34;Moderada;4;2;2;2;1;2;1;1;2
acianthera-bragae.js;Acianthera bragae;29;Moderada;4;1;2;2;2;1;2;1;1
blc-chia-lin.js;Rhyncholaeliocattleya Chia Lin;40;Moderada;3;2;2;2;2;2;2;2;2
octomeria-micrantha.js;Octomeria micrantha;34;Moderada;4;2;2;2;1;2;1;1;2
gongora-bufonia.js;Gongora bufonia;30;Moderada;4;2;2;1;1;1;1;1;2
pabstiella-trifida.js;Pabstiella trifida;54;Difícil;2;3;3;3;2;3;2;2;3
laelia-lundii-alba.js;Cattleya lundii f. alba;34;Moderada;4;2;2;2;1;2;1;1;2
cattleya-chocolate-drop.js;Cattlianthe Chocolate Drop;32;Moderada;4;2;2;1;1;2;1;1;2
cattleya-a-brazilian-dream.js;Cattleya A Brazilian Dream;22;Fácil;5;1;1;1;1;2;1;1;1
cattleya-violacea-f-suavissima-x-self.js;Cattleya violacea f. suavissima × self;40;Moderada;3;2;2;2;2;2;1;1;3
cattleya-violacea-f-flamea.js;Cattleya violacea f. flamea;40;Moderada;3;2;2;2;2;2;2;2;2
cattleya-nobilior-var-amaliae.js;Cattleya nobilior var. amaliae;36;Moderada;3;2;2;2;2;2;1;1;2
cattleya-walkeriana-f-alba-gnomus-x-f-alba-suprema.js;Cattleya walkeriana (f. alba 'Gnomus' × f. alba 'Suprema');42;Moderada;3;2;2;2;2;2;2;1;3
zygopetalum-maculatum.js;Zygopetalum maculatum;60;Difícil;2;3;3;3;3;3;3;3;3
phalaenopsis-mannii.js;Phalaenopsis mannii;40;Moderada;3;2;2;2;2;2;1;1;3
bulbophyllum-falcatum.js;Bulbophyllum falcatum;44;Moderada;3;2;2;2;2;2;2;2;3
bulbophyllum-syciobulbon.js;Bulbophyllum sicyobulbon;30;Moderada;4;2;2;1;1;1;1;1;2
laelia-caulencens.js;Cattleya caulescens;32;Moderada;4;2;2;1;1;2;1;1;2
rodricidium.js;Rodricidium (Rdcm.);44;Moderada;3;2;2;2;2;2;2;2;3
laelia-praestans.js;Cattleya praestans;56;Difícil;2;3;3;3;3;3;2;2;3
phaius-tankervilleae-alba.js;Calanthe tankervilleae — forma alba;40;Moderada;3;2;2;2;2;2;2;2;2
stanhopea-hernandezii.js;Stanhopea hernandezii;56;Difícil;2;3;3;3;3;3;2;2;3
encyclia-oncidioides.js;Encyclia oncidioides;42;Moderada;3;2;2;2;2;2;2;1;3
pleurothallis-modestissima.js;Acianthera modestissima;41;Moderada;3;2;3;2;2;2;2;1;2
maxillaria-brasiliensis.js;Maxillaria brasiliensis;40;Moderada;3;2;2;2;2;2;2;2;2
isochilus-linearis.js;Isochilus linearis;57;Difícil;2;3;4;4;3;3;3;1;2
epidendrum-centropetalum.js;Epidendrum centropetalum;45;Moderada;3;3;2;2;2;2;2;1;3
miltonia-russelliana.js;Miltonia russelliana;30;Moderada;4;2;2;1;1;1;1;1;2
promenaea-xanthina.js;Promenaea xanthina;56;Difícil;2;3;3;3;3;3;2;2;3
brassia-lawrenceana.js;Brassia lawrenceana;40;Moderada;3;2;2;2;2;2;1;1;3
laelia-splendida.js;Laelia splendida;36;Moderada;3;2;2;2;2;2;1;1;2
encyclia-alboxanthina.js;Encyclia alboxanthina;38;Moderada;3;2;2;2;2;2;2;1;2
phalaenopsis-pulcherrima.js;Phalaenopsis pulcherrima;25;Fácil;5;2;1;1;1;1;1;0;2
dendrobium-spectabile.js;Dendrobium spectabile;50;Moderada;3;2;2;2;2;2;2;3;4
aerides-odorata.js;Aerides odorata;48;Moderada;3;3;3;2;2;2;2;1;3
anathallis-sclerophylla.js;Anathallis sclerophylla;34;Moderada;4;2;2;2;1;2;1;1;2
